TP conc. (mg/mL),cell line,inhibitor,ligand,readout,raw_val
0.25,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,1.056049354
0.25,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,1.046205148
0.25,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,1.07961764
0.25,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,1.040316042
0.5,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,0.980871563
0.5,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,0.945114677
0.5,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,0.992863161
0.5,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,0.971792662
0.25,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.775429435
0.25,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.775379403
0.25,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.88429001
0.25,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.873844774
0.5,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.730158421
0.5,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.721727833
0.5,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.858282226
0.5,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.798484393
0.25,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,1.037575585
0.25,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,1.03721465
0.25,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,1.006819206
0.25,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,0.994090172
0.5,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,0.807384223
0.5,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,0.982357604
0.5,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,1.022959651
0.5,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,0.99974861
0.25,SW48 parental,DMSO,PBS,EGFR.Y1068.XP,1.148662073
